Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1,836,0,0,1,576,11,16,1,0,3,13,0,-1
2,2,1,1,4,128,10,37,1,6,1,9,0,-1
3,838,2,3,15,271,13,48,0,0,1,15,0,-1
4,0,3,4,21,170,2,49,0,2,1,1,1,14808
5,3,4,5,21,421,19,30,0,5,1,18,1,3645
6,837,5,6,5,442,1,16,1,2,3,18,1,15247
7,1,6,2,4,172,20,64,0,3,3,13,1,12150
8,841,7,1305,4,169,3,78,2,3,1,8,0,-1
9,2517,8,1306,17,338,7,41,2,0,1,1,0,-1
10,1670,9,8,4,497,14,29,1,3,1,4,0,-1
11,842,10,10,5,260,9,71,1,1,1,5,1,47
12,1671,11,12,24,563,11,26,1,6,3,3,0,-1
13,1,12,15,28,498,9,36,0,6,1,3,1,14750
14,846,13,7,17,436,1,32,2,4,3,18,0,-1
15,836,14,13,2,266,16,77,0,4,3,19,0,-1
16,840,15,9,13,357,3,51,0,1,1,16,1,15249
17,1670,16,1303,7,509,6,61,1,6,1,6,0,-1
18,2516,17,14,21,342,0,64,0,5,0,2,0,-1
19,845,18,1310,2,480,4,11,1,4,1,3,1,12052
20,1675,19,1314,2,369,7,62,0,0,1,2,1,2196
21,1678,20,1302,8,251,18,50,0,6,2,14,1,10967
22,1673,21,1309,17,374,19,64,0,5,1,15,1,1134
23,841,22,11,10,507,17,69,0,0,1,13,0,-1
24,1671,23,16,4,322,19,77,0,5,1,18,0,-1
25,1665,120,1318,2,527,6,18,0,5,1,1,0,-1
26,844,121,1307,10,282,1,60,1,2,3,15,1,5821
27,839,122,1304,21,247,11,49,1,0,3,13,0,-1
28,843,123,1317,14,489,14,41,0,4,1,7,0,-1
29,2522,124,1316,2,387,19,33,0,1,1,19,0,-1
30,2527,125,1308,3,517,2,37,0,4,1,4,0,-1
31,1670,126,1311,3,570,10,32,0,1,1,13,0,-1
32,2521,127,1312,8,222,19,60,1,3,1,3,1,8926
33,1668,128,2622,5,319,12,73,0,3,1,19,0,-1
34,3345,129,2620,20,575,20,24,0,1,3,6,0,-1
35,2525,130,1320,12,341,19,34,0,5,1,14,0,-1
36,2525,131,1313,4,396,3,32,0,0,1,11,0,-1
37,1669,132,2618,14,187,16,33,0,0,3,9,1,802
38,2519,133,1315,26,280,17,22,0,1,1,14,0,-1
39,1679,134,1319,24,487,20,32,0,4,3,13,1,5312
40,1666,135,2634,17,154,9,69,0,1,1,10,1,7273
41,3341,136,2619,28,148,10,28,0,2,1,2,0,-1
42,1672,137,2632,24,583,12,42,1,0,1,6,0,-1
43,1667,138,2629,5,172,8,40,1,6,0,10,1,8394
44,2520,139,2627,17,300,16,44,1,5,3,7,0,-1
45,3352,140,2625,13,387,0,44,0,0,0,10,1,5738
46,2523,141,2628,20,297,6,67,1,3,1,8,0,-1
47,3344,142,2631,5,555,15,47,0,4,3,9,0,-1
48,3350,143,2623,14,128,8,38,0,0,0,14,1,6830
49,3352,240,2621,10,139,12,77,0,2,1,17,0,-1
50,1674,241,2624,8,561,6,37,0,0,1,7,0,-1
51,1669,242,2636,18,573,2,54,0,5,1,12,1,6358
52,3348,243,2638,13,260,2,38,0,0,1,5,1,6882
53,3340,244,2640,7,211,14,29,1,6,1,15,1,9890
54,3346,245,2637,5,312,2,75,1,1,1,2,0,-1
55,4196,246,2626,21,548,8,61,0,6,0,5,0,-1
56,2518,247,2633,16,596,2,49,0,4,1,19,0,-1
57,4195,248,2639,12,188,16,67,0,2,3,8,1,10170
58,1675,249,2630,1,110,1,70,0,4,3,15,0,-1
59,2522,250,3907,4,449,18,75,0,0,2,16,0,-1
60,3351,251,3910,25,352,17,53,0,5,1,6,1,15734
61,1678,252,2635,17,196,17,16,1,6,1,10,0,-1
62,3354,253,3909,24,359,6,30,1,1,1,9,1,4210
63,1676,254,3913,4,495,9,56,1,1,1,5,1,7368
64,4199,255,2641,25,259,12,19,0,0,1,16,1,9980
65,3351,256,3905,28,289,6,58,0,1,1,19,0,-1
66,4203,257,3915,14,409,7,45,0,5,1,3,1,7365
67,1677,258,3922,3,306,4,25,1,4,1,6,0,-1
68,2524,259,3912,28,420,2,22,1,3,1,17,1,715
69,4201,260,3906,8,469,14,59,0,1,1,8,1,8322
70,4202,261,3921,28,292,8,31,0,2,0,1,0,-1
71,4207,262,3904,13,512,8,58,0,6,0,6,0,-1
72,3351,263,3914,18,244,0,53,0,3,0,1,1,11578
73,3354,360,3911,14,269,2,35,0,0,1,2,0,-1
74,4198,361,3908,4,524,0,36,1,2,0,5,1,9892
75,3342,362,5264,1,404,4,70,0,3,1,18,0,-1
76,4194,363,3923,5,191,19,52,1,1,1,7,1,13122
77,2526,364,3917,17,369,13,25,0,1,1,14,0,-1
78,3354,365,3920,9,517,11,58,0,3,3,10,1,14765
79,3353,366,5266,17,229,15,39,0,6,3,4,0,-1
80,5015,367,3928,28,154,20,54,0,4,3,15,1,7274
81,3343,368,3927,5,197,1,61,0,3,3,10,1,1699
82,4198,369,3918,10,421,9,16,0,1,1,17,0,-1
83,4202,370,5273,17,305,15,25,0,2,3,14,1,10513
84,2523,371,5267,13,150,18,72,0,0,2,9,1,9895
85,3351,372,3916,14,542,14,48,1,2,1,3,0,-1
86,4205,373,5270,17,438,19,22,1,5,1,5,1,5309
87,5017,374,3919,14,498,14,30,0,2,1,10,1,8842
88,5015,375,3925,22,345,15,11,0,2,3,1,0,-1
89,4209,376,3924,17,108,10,16,0,3,1,6,0,-1
90,4206,377,5268,8,219,20,73,0,0,3,12,0,-1
91,3344,378,5281,13,219,2,72,0,6,1,9,0,-1
92,2524,379,5274,10,510,4,60,0,4,1,7,0,-1
93,3349,380,5271,8,597,9,53,1,4,1,13,1,143
94,4208,381,5272,17,272,16,42,0,2,3,3,0,-1
95,4200,382,3926,27,413,14,10,1,2,1,11,0,-1
96,4200,383,5277,8,355,6,51,0,0,1,7,0,-1
97,4196,480,5280,18,523,11,26,0,1,3,5,1,5778
98,4205,481,5265,13,486,16,71,1,0,3,6,0,-1
99,4210,482,5279,8,292,11,74,0,1,3,15,1,11486
100,4207,483,5269,8,455,6,13,0,5,1,13,1,10966
101,4210,484,5276,1,515,14,50,0,3,1,1,1,6744
102,3349,485,5285,17,566,7,69,0,1,1,18,0,-1
103,5013,486,5283,12,419,1,34,0,5,3,6,0,-1
104,5024,487,5278,17,250,20,38,0,6,3,14,1,9417
105,4210,488,5284,14,597,9,44,0,0,1,16,0,-1
106,4194,489,5275,8,583,20,69,0,4,3,12,1,11008
107,3347,490,5282,14,342,5,12,0,0,3,1,0,-1
108,5021,491,6588,2,417,0,21,0,6,0,3,1,4209
109,5026,492,6579,4,169,14,55,0,0,1,8,0,-1
110,3350,493,5287,5,464,0,15,0,5,0,9,0,-1
111,5016,494,5286,28,500,12,58,0,1,1,5,1,7845
112,5862,495,6585,5,183,3,37,0,4,1,6,0,-1
113,5020,496,6592,2,270,10,49,0,3,1,7,1,4100
114,4204,497,6583,24,259,7,30,1,6,1,5,0,-1
115,5022,498,6587,21,184,8,50,0,0,0,15,1,1078
116,3353,499,6582,17,353,2,64,0,3,1,10,0,-1
117,5016,500,6589,14,235,19,43,1,6,1,14,1,6312
118,4207,501,6580,5,287,6,32,1,1,1,13,1,15252
119,5025,502,5288,17,257,12,14,1,6,1,3,1,13688
120,5014,503,6586,21,537,18,70,1,4,2,3,1,13631
